snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,AUTO.JK,AUTO,PT Astra Otoparts Tbk,,Producer manufacturing
2025-09-20,AVIA.JK,AVIA,PT Avia Avian Tbk,,Process industries
2025-09-20,AWAN.JK,AWAN,PT Era Digital Media Tbk,,Technology services
2025-09-20,AXIO.JK,AXIO,PT Tera Data Indonusa Tbk,,Electronic technology
2025-09-20,AYAM.JK,AYAM,PT Janu Putra Sejahtera Tbk,,Process industries
2025-09-20,AYLS.JK,AYLS,PT Agro Yasa Lestari Tbk,,Process industries
2025-09-20,BABP.JK,BABP,PT Bank MNC Internasional Tbk,,Finance
2025-09-20,BABY.JK,BABY,PT Multitrend Indo Tbk,,Retail trade
2025-09-20,BACA.JK,BACA,PT Bank Capital Indonesia Tbk,,Finance
2025-09-20,BAIK.JK,BAIK,PT Bersama Mencapai Puncak Tbk,,Consumer services
2025-09-20,BAJA.JK,BAJA,PT Saranacentral Bajatama Tbk,,Non-energy minerals
2025-09-20,BALI.JK,BALI,PT Bali Towerindo Sentra Tbk,,Industrial services
2025-09-20,BANK.JK,BANK,PT Bank Aladin Syariah Tbk,,Finance
2025-09-20,BAPA.JK,BAPA,PT Bekasi Asri Pemula Tbk,,Consumer durables
2025-09-20,BAPI.JK,BAPI,PT Bhakti Agung Propertindo Tbk,,Finance
2025-09-20,BATA.JK,BATA,PT Sepatu Bata Tbk,,Consumer non-durables
2025-09-20,BATR.JK,BATR,PT Benteng Api Technic Tbk,,Non-energy minerals
2025-09-20,BAUT.JK,BAUT,PT Mitra Angkasa Sejahtera Tbk,,Distribution services
2025-09-20,BAYU.JK,BAYU,PT Bayu Buana Tbk,,Consumer services
2025-09-20,BBCA.JK,BBCA,PT Bank Central Asia Tbk,,Finance
2025-09-20,BBHI.JK,BBHI,PT Allo Bank Indonesia Tbk,,Finance
2025-09-20,BBKP.JK,BBKP,PT Bank KB Indonesia Tbk Class B,,Finance
2025-09-20,BBLD.JK,BBLD,PT Buana Finance Tbk,,Finance
2025-09-20,BBMD.JK,BBMD,PT Bank Mestika Dharma Tbk,,Finance
2025-09-20,BBNI.JK,BBNI,PT Bank Negara Indonesia (Persero) Tbk Class B,,Finance
2025-09-20,BBRI.JK,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk Class B,,Finance
2025-09-20,BBRM.JK,BBRM,PT Pelayaran Nasional Bina Buana Raya Tbk,,Transportation
2025-09-20,BBSI.JK,BBSI,PT Krom Bank Indonesia Tbk,,Finance
2025-09-20,BBSS.JK,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,,Industrial services
2025-09-20,BBTN.JK,BBTN,PT Bank Tabungan Negara (Persero) Tbk,,Finance
2025-09-20,BBYB.JK,BBYB,PT Bank Neo Commerce Tbk,,Finance
2025-09-20,BCAP.JK,BCAP,PT MNC Kapital Indonesia Tbk,,Finance
